municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
171430 Nazaré,-,-,-,-,-,-,-,2,1,2,1,-
171488 Nova Olinda,-,-,-,-,-,-,-,-,-,2,1,1
171500 Nova Rosalândia,-,-,-,-,-,-,-,1,2,-,-,1
171510 Novo Acordo,-,-,1,-,-,-,1,-,-,1,1,-
171515 Novo Alegre,-,-,1,-,-,-,1,-,-,-,-,2
171525 Novo Jardim,-,-,-,-,-,-,-,-,2,2,-,-
171550 Oliveira de Fátima,-,-,-,-,-,-,-,-,-,-,-,-
172100 Palmas,-,8,14,50,40,161,255,392,379,509,406,318
171570 Palmeirante,-,-,-,-,-,-,2,2,1,2,-,1
171380 Palmeiras do Tocantins,-,-,-,-,1,-,4,2,5,-,-,-
171575 Palmeirópolis,-,-,-,-,-,1,3,-,1,1,1,-
171610 Paraíso do Tocantins,-,-,-,-,2,1,14,21,38,16,11,8
171620 Paranã,-,-,-,-,-,-,-,-,6,4,2,1
171630 Pau D'Arco,-,-,-,-,-,-,-,1,-,-,-,-
171650 Pedro Afonso,-,-,-,1,-,-,1,5,3,9,6,7
171660 Peixe,-,-,-,-,1,-,4,7,8,7,7,-
171665 Pequizeiro,-,-,-,-,-,-,-,-,1,-,1,1
171700 Pindorama do Tocantins,-,2,1,-,-,-,2,3,-,-,-,-
171720 Piraquê,-,-,-,-,-,1,-,-,-,1,-,1
171750 Pium,-,-,-,1,1,-,1,3,3,3,2,-
171780 Ponte Alta do Bom Jesus,-,-,-,-,-,-,-,1,2,-,-,1
171790 Ponte Alta do Tocantins,-,-,-,2,3,1,6,6,6,5,2,2
171800 Porto Alegre do Tocantins,-,1,-,-,-,1,-,1,-,-,-,-
171820 Porto Nacional,-,3,-,9,18,34,35,70,71,74,49,24
171830 Praia Norte,-,-,-,-,-,-,1,11,8,6,-,-
171840 Presidente Kennedy,-,-,-,-,1,-,1,-,-,-,4,1
171845 Pugmil,-,-,-,-,-,-,-,-,10,11,1,-
171850 Recursolândia,-,-,-,-,-,-,-,4,1,-,-,-
171855 Riachinho,-,1,-,-,-,-,-,4,6,2,2,-
171865 Rio da Conceição,-,-,1,-,-,-,-,2,-,-,-,-
171870 Rio dos Bois,-,-,-,-,-,1,-,5,-,2,1,-
171875 Rio Sono,-,-,-,-,-,-,1,-,-,-,-,-
171880 Sampaio,-,-,-,-,-,-,1,-,2,4,8,1
171884 Sandolândia,-,-,-,-,-,-,-,2,2,-,-,1
171886 Santa Fé do Araguaia,-,-,-,-,4,2,1,-,8,6,-,-
171888 Santa Maria do Tocantins,-,-,-,-,1,-,-,1,-,-,-,-
171889 Santa Rita do Tocantins,-,-,-,-,-,-,-,1,1,1,-,-
171890 Santa Rosa do Tocantins,-,-,-,1,-,1,1,-,3,4,-,-
171900 Santa Tereza do Tocantins,-,-,-,-,2,-,-,-,-,1,1,-
172000 Santa Terezinha do Tocantins,-,-,1,1,3,-,-,-,2,-,-,-
172010 São Bento do Tocantins,-,-,-,-,-,-,-,4,5,3,-,-
172015 São Félix do Tocantins,-,-,-,-,-,-,-,-,2,1,-,-
172020 São Miguel do Tocantins,-,-,-,-,-,-,1,3,2,1,4,-
172025 São Salvador do Tocantins,-,-,-,-,-,-,-,-,1,2,1,-
172030 São Sebastião do Tocantins,-,-,-,-,-,-,1,4,1,1,-,-
172049 São Valério,-,-,1,-,2,1,6,3,3,1,2,2
172065 Silvanópolis,-,-,-,-,1,4,9,4,8,4,5,1
172080 Sítio Novo do Tocantins,-,-,-,-,1,1,6,6,6,6,2,1
172085 Sucupira,-,-,-,-,-,-,-,4,6,-,-,1
172090 Taguatinga,-,-,-,-,-,-,-,1,1,3,1,4
172093 Taipas do Tocantins,-,-,-,-,-,-,1,-,1,2,1,-
172097 Talismã,-,-,-,-,-,-,-,6,10,3,1,1
172110 Tocantínia,-,-,1,1,1,-,3,3,8,3,2,-
172120 Tocantinópolis,-,-,-,-,-,-,2,13,22,13,7,1
172125 Tupirama,-,-,-,-,-,-,-,3,3,2,-,1
172130 Tupiratins,-,-,-,-,-,-,-,-,2,-,-,-
172208 Wanderlândia,-,-,-,-,1,-,-,2,12,-,2,1
172210 Xambioá,-,-,-,1,-,13,5,4,13,2,3,1
170000 Município ignorado - TO,-,-,-,-,-,-,-,-,-,-,-,-
210005 Açailândia,-,1,1,5,8,49,16,61,58,11,12,2
210010 Afonso Cunha,-,-,-,-,-,-,-,-,-,-,-,-
210015 Água Doce do Maranhão,-,-,-,-,-,-,1,-,-,-,-,-
210020 Alcântara,-,-,-,1,3,-,-,-,8,21,1,1
210030 Aldeias Altas,-,-,-,2,-,1,1,3,6,13,3,1
210040 Altamira do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-
210043 Alto Alegre do Maranhão,-,-,-,-,-,-,15,19,6,6,11,1
210047 Alto Alegre do Pindaré,-,-,-,-,-,-,-,1,7,10,17,6
210050 Alto Parnaíba,-,-,-,-,-,1,-,2,3,1,1,1
210055 Amapá do Maranhão,-,-,-,-,-,3,-,1,1,-,-,1
210060 Amarante do Maranhão,-,-,-,-,-,-,1,1,12,14,1,2
210070 Anajatuba,-,-,2,-,-,1,1,1,-,1,1,-
210080 Anapurus,-,-,-,-,-,-,-,-,-,-,1,-
210083 Apicum-Açu,-,-,-,5,17,3,3,1,5,9,8,4
210087 Araguanã,-,-,-,1,1,-,-,-,4,1,2,1
210090 Araioses,-,-,-,-,-,-,-,5,2,2,1,-
210095 Arame,-,-,-,-,-,-,-,1,6,3,1,-
210100 Arari,-,-,-,-,-,-,-,-,-,-,2,-
210110 Axixá,-,-,-,-,5,1,-,-,-,1,-,1
210120 Bacabal,1,1,-,-,-,-,-,-,1,-,-,-
210125 Bacabeira,-,-,-,-,-,-,-,7,13,2,3,-
210130 Bacuri,-,-,-,-,-,-,-,1,2,-,1,-
210135 Bacurituba,-,-,-,-,-,-,-,5,7,1,-,4
210140 Balsas,-,-,2,-,-,-,-,2,1,-,-,-
210150 Barão de Grajaú,-,-,-,-,-,7,3,2,5,2,-,-
210160 Barra do Corda,-,1,-,-,-,3,-,1,1,2,-,2
210170 Barreirinhas,-,-,-,-,-,-,-,-,10,8,7,13
210177 Bela Vista do Maranhão,-,-,-,-,-,7,-,8,7,5,1,1
210173 Belágua,-,-,-,-,-,-,-,-,-,-,-,-
210180 Benedito Leite,-,-,-,-,-,-,-,-,-,-,-,-
210190 Bequimão,-,-,-,-,-,-,3,1,12,-,1,1
210193 Bernardo do Mearim,-,-,-,-,-,-,-,-,-,-,-,-
210197 Boa Vista do Gurupi,-,-,-,-,-,-,-,-,-,1,-,-
210200 Bom Jardim,-,-,1,-,-,-,7,24,21,4,5,1
210203 Bom Jesus das Selvas,-,-,-,-,-,-,-,1,4,-,-,-
210207 Bom Lugar,-,-,-,-,-,-,-,-,-,-,-,-
210210 Brejo,-,-,-,-,-,-,-,-,-,1,1,-
210215 Brejo de Areia,-,-,-,-,-,1,-,-,-,2,1,-
210220 Buriti,-,-,-,-,-,-,-,6,7,3,3,-
210230 Buriti Bravo,-,-,-,-,-,-,1,-,-,1,-,-
210232 Buriticupu,-,-,-,-,-,-,-,7,57,27,11,7
210235 Buritirana,-,-,-,-,-,-,-,-,-,-,-,-
210237 Cachoeira Grande,-,-,-,-,-,-,-,-,1,-,-,1
210240 Cajapió,-,-,-,-,-,-,-,-,2,1,-,-
210250 Cajari,-,-,-,-,-,-,-,1,-,-,1,-
210255 Campestre do Maranhão,-,-,-,-,-,-,-,-,1,-,1,1
210260 Cândido Mendes,-,-,-,-,-,-,-,-,-,-,-,-
210270 Cantanhede,-,-,1,-,-,-,-,-,3,1,-,1
210275 Capinzal do Norte,-,-,-,-,-,-,-,-,1,-,-,-
210280 Carolina,-,-,-,-,1,1,3,-,3,19,16,4
210290 Carutapera,-,-,-,-,-,-,-,-,4,18,11,-
210300 Caxias,-,-,-,-,-,-,-,-,-,81,55,51
210310 Cedral,-,-,-,-,-,-,-,-,3,2,-,1
210312 Central do Maranhão,-,-,-,-,-,-,-,-,-,2,-,-
210315 Centro do Guilherme,-,-,-,-,-,1,11,10,6,1,1,-
210317 Centro Novo do Maranhão,-,-,-,-,-,-,-,-,-,1,-,-
210320 Chapadinha,-,-,-,-,1,2,3,31,20,14,9,35
210325 Cidelândia,-,-,-,-,-,-,-,-,1,1,-,-
210330 Codó,1,-,-,1,1,21,29,30,7,3,5,21
210340 Coelho Neto,-,-,-,4,18,32,36,33,44,8,12,10
210350 Colinas,-,-,-,-,-,-,3,-,-,-,1,4
210355 Conceição do Lago-Açu,-,-,-,-,1,4,3,-,1,1,-,1
210360 Coroatá,-,-,-,-,2,9,11,20,65,39,17,5
210370 Cururupu,-,-,-,-,1,-,9,11,8,1,1,5
210375 Davinópolis,-,-,-,-,-,-,-,-,-,1,3,-
210380 Dom Pedro,-,-,-,-,4,-,-,-,1,1,2,1
210390 Duque Bacelar,-,-,-,-,-,-,12,7,13,9,5,1
210400 Esperantinópolis,-,-,-,-,-,-,-,-,-,-,-,-
210405 Estreito,-,-,-,-,-,-,4,-,20,15,3,8
210407 Feira Nova do Maranhão,-,-,-,-,-,-,-,2,8,1,-,-
210408 Fernando Falcão,-,-,-,-,-,-,-,1,-,5,1,-
210409 Formosa da Serra Negra,-,-,-,-,-,-,-,-,2,-,-,-
210410 Fortaleza dos Nogueiras,-,-,-,-,-,-,-,5,1,-,-,1
210420 Fortuna,-,-,-,-,-,-,-,-,-,-,-,1
210430 Godofredo Viana,-,-,-,-,-,-,-,-,-,1,1,-
210440 Gonçalves Dias,-,-,-,-,-,-,-,-,-,-,-,-
210450 Governador Archer,-,-,-,-,-,-,-,-,8,6,1,-
210455 Governador Edison Lobão,-,-,-,1,-,-,-,3,2,3,10,8
210460 Governador Eugênio Barros,-,-,-,-,-,-,-,12,6,1,-,-
210462 Governador Luiz Rocha,-,-,-,-,-,-,-,-,-,-,-,-
210465 Governador Newton Bello,-,-,-,-,-,-,1,-,1,-,-,-
210467 Governador Nunes Freire,-,-,-,-,-,-,2,2,5,2,-,-
210470 Graça Aranha,-,-,-,-,-,-,-,-,-,-,-,-
210480 Grajaú,-,-,-,2,-,-,-,-,3,4,6,9
210490 Guimarães,-,-,-,-,1,-,1,-,-,-,-,-
210500 Humberto de Campos,-,-,-,-,2,1,-,-,1,1,-,4
210510 Icatu,-,-,-,-,-,-,-,-,-,-,-,-
210515 Igarapé do Meio,-,-,-,-,-,-,-,-,12,-,1,3
210520 Igarapé Grande,-,-,-,-,-,-,-,4,5,4,11,-
210530 Imperatriz,-,-,-,-,35,15,183,151,-,3,-,1
210535 Itaipava do Grajaú,-,-,-,-,-,-,-,-,1,2,2,-
210540 Itapecuru Mirim,-,-,-,-,2,-,-,7,8,8,15,6
210542 Itinga do Maranhão,-,-,-,-,-,1,-,-,-,-,-,-
210545 Jatobá,-,-,-,-,-,-,-,-,1,-,-,-
210547 Jenipapo dos Vieiras,-,-,-,-,-,1,-,-,2,1,2,-
210550 João Lisboa,-,-,-,-,-,-,-,3,-,-,4,-
210560 Joselândia,-,-,-,-,-,-,-,-,-,-,2,-
210565 Junco do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-
210570 Lago da Pedra,-,1,-,-,-,1,1,4,2,5,-,2
210580 Lago do Junco,-,-,-,-,-,-,1,-,-,1,1,-
210594 Lago dos Rodrigues,-,-,-,-,-,-,-,-,-,-,-,-
210590 Lago Verde,-,-,1,-,3,-,1,-,5,4,1,-
210592 Lagoa do Mato,-,-,-,-,-,-,-,1,-,-,-,1
210596 Lagoa Grande do Maranhão,-,-,-,-,-,-,-,1,1,-,1,-
210598 Lajeado Novo,-,-,-,-,-,-,-,3,1,2,-,1
210600 Lima Campos,-,-,-,-,-,-,-,-,6,-,-,1
210610 Loreto,-,-,-,-,1,-,-,-,-,-,-,-
210620 Luís Domingues,-,-,-,-,-,-,-,-,-,-,-,15
210630 Magalhães de Almeida,-,-,-,-,-,12,16,5,3,4,-,-
210632 Maracaçumé,-,-,-,-,-,-,-,1,3,2,2,4
210635 Marajá do Sena,-,-,-,-,-,-,-,-,-,1,-,-
210637 Maranhãozinho,-,-,-,-,-,-,-,-,-,1,-,-
210640 Mata Roma,-,-,-,-,-,-,-,-,-,-,-,-
210650 Matinha,-,-,-,1,-,-,-,-,1,-,-,-
210660 Matões,-,-,-,-,-,1,3,9,27,32,31,7
210663 Matões do Norte,-,-,-,1,-,-,4,4,9,3,3,-
210667 Milagres do Maranhão,-,-,-,-,1,-,-,-,-,-,-,-
210670 Mirador,-,-,-,-,-,-,-,-,-,-,-,-
210675 Miranda do Norte,-,-,-,-,-,-,-,-,-,22,14,9
210680 Mirinzal,-,-,-,-,-,-,-,-,12,2,3,-
210690 Monção,-,-,-,-,2,-,-,-,4,5,6,-
210700 Montes Altos,-,-,-,-,-,-,1,6,-,-,4,-
210710 Morros,-,-,-,-,-,-,-,-,-,-,-,-
210720 Nina Rodrigues,-,-,-,-,-,-,1,-,2,-,-,-
210725 Nova Colinas,-,-,-,-,-,-,-,-,5,-,-,-
210730 Nova Iorque,-,-,-,-,-,-,-,-,-,-,-,-
210735 Nova Olinda do Maranhão,-,-,-,-,-,-,-,-,2,1,-,-
210740 Olho d'Água das Cunhãs,-,-,-,-,-,-,-,-,-,-,1,-
210745 Olinda Nova do Maranhão,-,-,-,-,-,-,-,-,1,-,-,1
210750 Paço do Lumiar,-,-,-,2,1,1,5,3,9,7,7,7
210760 Palmeirândia,-,-,-,-,-,-,1,-,-,-,-,-
210770 Paraibano,-,-,2,-,4,1,1,-,-,-,-,1
210780 Parnarama,-,-,-,-,-,-,-,5,2,1,-,-
210790 Passagem Franca,-,-,-,-,-,-,-,-,1,-,1,-
210800 Pastos Bons,-,-,-,-,-,-,-,1,-,2,-,-
210805 Paulino Neves,-,-,-,-,-,1,-,-,-,-,-,-
210810 Paulo Ramos,-,-,-,-,-,-,-,-,2,-,-,-
210820 Pedreiras,-,-,1,1,1,1,3,-,-,1,2,-
210825 Pedro do Rosário,-,-,-,-,-,-,-,-,6,9,2,2
210830 Penalva,-,1,-,2,4,6,2,6,10,5,6,1
210840 Peri Mirim,-,-,-,-,-,-,3,-,-,-,-,1
210845 Peritoró,-,-,-,-,1,-,1,4,1,1,-,-
210850 Pindaré-Mirim,-,1,-,-,-,-,11,7,-,-,-,-
210860 Pinheiro,-,-,-,-,38,82,43,60,60,58,19,12
210870 Pio XII,-,-,-,1,-,-,-,5,1,-,5,5
210880 Pirapemas,-,-,-,-,-,-,-,1,15,10,21,8
210890 Poção de Pedras,-,-,-,-,-,-,-,-,2,2,1,-
210900 Porto Franco,-,-,-,-,-,-,-,3,13,3,-,3
210905 Porto Rico do Maranhão,-,-,-,-,-,-,-,-,5,5,3,-
210910 Presidente Dutra,-,-,-,4,13,11,5,35,24,12,3,4
210920 Presidente Juscelino,-,-,-,-,-,-,-,-,-,5,1,-
210923 Presidente Médici,-,-,-,-,-,-,-,-,-,-,-,-
210927 Presidente Sarney,-,-,-,3,3,4,-,-,11,5,2,1
210930 Presidente Vargas,-,-,-,-,-,-,1,-,-,-,-,-
210940 Primeira Cruz,-,-,-,-,-,1,1,4,5,3,3,1
210945 Raposa,-,-,-,-,-,-,-,2,7,11,13,9
210950 Riachão,-,-,-,-,-,-,-,2,8,3,4,1
210955 Ribamar Fiquene,-,-,-,-,-,-,-,-,3,-,-,-
210960 Rosário,-,-,-,-,-,-,3,20,40,13,4,9
210970 Sambaíba,-,-,-,-,-,-,-,2,1,-,1,-
210975 Santa Filomena do Maranhão,-,-,-,-,-,1,-,1,2,-,-,-
210980 Santa Helena,-,-,-,-,13,4,-,-,2,6,2,9
210990 Santa Inês,-,-,-,3,4,5,2,45,40,72,17,16
211000 Santa Luzia,-,-,-,-,1,1,7,6,1,-,3,1
211003 Santa Luzia do Paruá,-,-,-,-,-,-,-,-,-,-,-,-
211010 Santa Quitéria do Maranhão,-,-,-,-,-,-,-,2,1,-,-,-
211020 Santa Rita,-,-,-,-,-,-,-,-,-,1,-,2
211023 Santana do Maranhão,-,-,-,-,-,-,-,5,9,-,1,-
211027 Santo Amaro do Maranhão,-,-,-,-,-,-,-,-,-,-,-,-
211030 Santo Antônio dos Lopes,-,-,-,-,-,-,-,-,-,-,-,-
211040 São Benedito do Rio Preto,-,-,-,-,-,-,-,-,-,4,-,-
211050 São Bento,-,-,-,-,-,-,3,1,8,6,4,1
211060 São Bernardo,-,-,-,-,-,-,-,1,2,1,6,-
211065 São Domingos do Azeitão,-,-,-,-,-,-,-,-,-,-,-,-
211070 São Domingos do Maranhão,-,-,-,-,-,-,-,3,-,-,1,-
211080 São Félix de Balsas,-,-,-,-,-,-,-,-,3,1,2,-
211085 São Francisco do Brejão,-,-,-,-,-,-,-,2,1,-,-,-
211090 São Francisco do Maranhão,-,-,-,-,-,-,-,-,3,6,-,-
211100 São João Batista,-,-,-,-,1,1,3,-,-,-,-,-
211102 São João do Carú,-,-,-,-,-,-,-,-,1,1,-,-
211105 São João do Paraíso,-,-,-,-,-,-,-,1,2,2,1,1
211107 São João do Soter,-,-,-,4,-,2,-,-,-,1,-,-
211110 São João dos Patos,-,-,-,-,-,1,2,1,1,1,-,-
211120 São José de Ribamar,-,7,16,6,-,12,-,4,11,107,105,63
211125 São José dos Basílios,-,-,-,-,-,-,-,2,-,-,-,-
211130 São Luís,-,-,8,42,52,202,289,377,617,703,574,200
211140 São Luís Gonzaga do Maranhão,-,-,-,-,-,-,-,-,-,4,-,2
211150 São Mateus do Maranhão,-,-,-,-,-,1,1,-,1,-,-,-
211153 São Pedro da Água Branca,-,-,-,-,-,-,4,-,2,1,1,-
211157 São Pedro dos Crentes,-,-,-,-,-,-,-,1,-,5,-,1
211160 São Raimundo das Mangabeiras,-,-,-,-,-,-,-,3,9,5,1,3
211163 São Raimundo do Doca Bezerra,-,-,-,-,-,-,-,-,-,-,-,-
211167 São Roberto,-,-,-,-,-,-,-,-,-,-,-,-
211170 São Vicente Ferrer,-,2,-,-,-,1,1,3,-,2,2,-
211172 Satubinha,-,-,-,-,-,-,2,1,2,-,-,-
211174 Senador Alexandre Costa,-,-,-,-,-,-,-,-,-,-,1,3
211176 Senador La Rocque,-,-,-,-,-,-,-,-,-,1,-,1
211178 Serrano do Maranhão,-,-,1,-,-,-,-,-,-,3,-,-
211180 Sítio Novo,-,-,-,-,-,-,-,-,-,-,-,-
211190 Sucupira do Norte,-,-,-,-,-,-,-,-,1,-,-,-
211195 Sucupira do Riachão,-,-,-,-,-,-,-,-,-,-,-,-
211200 Tasso Fragoso,-,-,-,-,-,-,-,-,-,-,1,-
211210 Timbiras,-,-,-,-,-,2,-,4,3,2,5,-
211220 Timon,-,-,5,1,1,7,8,15,114,99,18,16
211223 Trizidela do Vale,-,-,-,-,-,-,-,-,-,-,-,1
211227 Tufilândia,-,-,-,-,-,-,-,-,-,1,-,-
211230 Tuntum,-,-,-,-,-,2,3,3,1,-,1,-
211240 Turiaçu,-,-,-,-,-,-,-,-,-,16,9,-
211245 Turilândia,-,-,-,-,6,4,11,2,22,8,5,1
211250 Tutóia,-,-,-,-,-,-,-,-,8,1,-,2
211260 Urbano Santos,-,-,-,-,-,2,-,1,2,-,1,1
211270 Vargem Grande,-,-,-,1,-,-,-,-,-,-,-,-
211280 Viana,-,1,6,4,7,20,22,7,14,19,1,5
211285 Vila Nova dos Martírios,-,-,-,-,-,-,-,-,-,1,2,-
211290 Vitória do Mearim,-,-,-,1,11,6,13,14,42,8,5,4
211300 Vitorino Freire,-,-,-,-,-,-,-,-,-,-,1,-
211400 Zé Doca,-,-,-,-,-,-,-,1,-,-,-,-
210000 Município ignorado - MA,-,-,-,-,-,-,-,-,-,-,-,-
220005 Acauã,-,-,-,-,-,-,-,-,1,-,-,-
220010 Agricolândia,-,-,-,-,-,2,5,-,-,-,-,-
220020 Água Branca,-,-,-,-,1,-,1,-,1,2,1,1
220025 Alagoinha do Piauí,-,-,-,-,-,-,-,-,-,3,-,-
220027 Alegrete do Piauí,-,-,-,-,-,-,-,-,1,-,-,-
220030 Alto Longá,-,-,-,-,-,-,-,1,-,1,-,-
220040 Altos,-,-,-,1,-,1,-,2,14,13,6,4
220045 Alvorada do Gurguéia,-,-,-,-,-,-,-,-,5,2,-,1
220050 Amarante,-,-,-,-,-,-,-,-,1,2,-,-
220060 Angical do Piauí,-,-,-,-,-,-,-,-,2,-,-,-
220070 Anísio de Abreu,-,-,-,-,-,-,-,-,-,-,-,-
220080 Antônio Almeida,-,-,-,-,-,-,-,-,1,-,-,-
220090 Aroazes,-,-,-,-,-,-,-,-,-,-,-,-
220095 Aroeiras do Itaim,-,-,-,-,-,-,-,-,-,-,-,-
220100 Arraial,-,-,-,-,-,-,-,-,1,1,1,-
220105 Assunção do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220110 Avelino Lopes,-,-,-,-,-,-,-,-,-,-,-,-
220115 Baixa Grande do Ribeiro,-,-,-,-,1,-,2,6,4,1,-,-
220117 Barra D'Alcântara,-,-,-,-,-,-,-,-,-,-,-,-
220120 Barras,-,-,-,-,-,2,-,2,6,7,7,-
220130 Barreiras do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220140 Barro Duro,-,-,-,-,-,-,-,-,-,-,-,-
220150 Batalha,-,-,-,-,-,-,-,-,2,5,1,-
220155 Bela Vista do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220157 Belém do Piauí,-,-,-,-,-,-,-,-,2,2,-,-
220160 Beneditinos,-,-,-,1,-,2,-,-,-,-,-,-
220170 Bertolínia,-,-,-,-,-,-,-,-,-,-,-,-
220173 Betânia do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220177 Boa Hora,-,-,-,-,-,-,-,-,-,1,-,-
220180 Bocaina,-,-,-,-,-,-,-,-,-,-,-,-
220190 Bom Jesus,-,-,-,-,-,-,-,-,12,5,2,-
220191 Bom Princípio do Piauí,-,-,-,-,-,-,-,-,1,2,-,-
220192 Bonfim do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220194 Boqueirão do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220196 Brasileira,-,-,-,-,-,-,-,-,-,-,-,-
220198 Brejo do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220200 Buriti dos Lopes,-,-,-,-,-,2,-,-,3,3,4,1
220202 Buriti dos Montes,-,-,-,-,-,-,-,-,-,-,-,1
220205 Cabeceiras do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220207 Cajazeiras do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220208 Cajueiro da Praia,-,-,-,-,-,-,-,-,-,1,-,-
220209 Caldeirão Grande do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220210 Campinas do Piauí,-,-,-,-,-,-,-,-,-,2,-,-
220211 Campo Alegre do Fidalgo,-,-,-,-,-,-,-,-,1,1,1,-
220213 Campo Grande do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220217 Campo Largo do Piauí,-,-,-,-,-,-,-,2,17,6,-,-
220220 Campo Maior,-,-,1,-,-,-,3,9,13,48,28,5
220225 Canavieira,-,-,-,-,-,-,-,-,-,2,-,-
220230 Canto do Buriti,-,-,-,-,-,-,-,-,1,-,1,-
220240 Capitão de Campos,-,-,2,2,-,-,-,-,-,-,-,-
220245 Capitão Gervásio Oliveira,-,-,-,-,-,-,-,-,1,-,-,-
220250 Caracol,-,-,-,-,-,-,-,-,-,-,-,-
220253 Caraúbas do Piauí,-,-,-,-,-,-,-,-,2,4,-,-
220255 Caridade do Piauí,-,-,-,-,-,-,-,-,-,1,-,-
220260 Castelo do Piauí,-,-,1,-,-,-,-,-,-,3,1,-
220265 Caxingó,-,-,-,-,-,-,-,1,-,-,-,-
220270 Cocal,-,-,-,-,1,-,-,-,-,2,3,-
220271 Cocal de Telha,-,-,-,-,-,-,-,-,2,-,-,-
220272 Cocal dos Alves,-,-,-,-,-,-,-,-,-,3,-,-
220273 Coivaras,-,-,-,-,-,-,-,2,3,6,-,3
220275 Colônia do Gurguéia,-,-,1,-,-,-,-,-,-,1,1,1
220277 Colônia do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220280 Conceição do Canindé,-,-,-,-,-,1,-,-,1,1,-,-
220285 Coronel José Dias,-,-,-,-,-,-,-,-,-,-,-,-
220290 Corrente,-,-,-,-,-,-,-,1,3,1,-,-
220300 Cristalândia do Piauí,-,-,-,-,-,-,-,-,-,3,-,-
220310 Cristino Castro,-,-,-,-,-,-,-,-,-,-,-,1
220320 Curimatá,-,-,-,-,-,-,-,-,-,-,-,-
220323 Currais,-,-,-,-,-,-,-,-,-,-,-,-
220327 Curral Novo do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220325 Curralinhos,-,-,-,-,-,1,-,-,-,-,2,-
220330 Demerval Lobão,-,-,-,-,-,-,1,1,1,11,8,3
220335 Dirceu Arcoverde,-,-,-,-,-,-,-,-,-,-,-,-
220340 Dom Expedito Lopes,-,-,-,-,-,-,-,-,18,3,-,-
220345 Dom Inocêncio,-,-,-,-,-,-,-,-,-,-,4,-
220342 Domingos Mourão,-,-,-,-,-,-,-,-,-,-,-,-
220350 Elesbão Veloso,-,-,-,-,-,-,-,-,-,-,-,1
220360 Eliseu Martins,-,-,-,-,-,-,-,-,-,-,3,-
220370 Esperantina,-,-,-,-,-,-,3,7,12,17,21,4
220375 Fartura do Piauí,-,-,-,-,-,-,-,1,-,-,-,-
220380 Flores do Piauí,-,-,-,-,1,1,-,-,-,-,-,-
220385 Floresta do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220390 Floriano,-,-,-,-,-,-,1,10,22,60,22,12
220400 Francinópolis,-,-,-,-,-,-,-,-,-,1,8,-
220410 Francisco Ayres,-,-,-,-,-,-,-,-,-,-,-,-
220415 Francisco Macedo,-,-,-,-,-,-,-,-,1,-,-,-
220420 Francisco Santos,-,-,-,-,-,-,-,-,-,-,-,-
220430 Fronteiras,-,-,1,-,-,-,-,-,-,-,-,1
220435 Geminiano,-,-,-,-,-,-,-,-,-,-,-,-
220440 Gilbués,-,-,-,-,-,-,-,-,1,1,-,-
220450 Guadalupe,-,-,-,-,-,-,-,3,5,1,3,-
220455 Guaribas,-,-,-,-,-,-,-,-,-,-,-,-
220460 Hugo Napoleão,-,-,-,-,-,-,-,-,-,-,-,-
220465 Ilha Grande,-,-,-,-,-,2,7,3,1,3,1,-
220470 Inhuma,-,1,-,-,-,-,1,1,-,1,-,-
220480 Ipiranga do Piauí,-,-,-,-,-,-,-,1,4,1,-,-
220490 Isaías Coelho,-,-,-,-,-,-,-,-,-,-,1,-
220500 Itainópolis,-,-,-,-,-,-,-,-,-,1,-,-
220510 Itaueira,-,-,-,-,-,-,-,-,-,-,-,-
220515 Jacobina do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220520 Jaicós,-,-,-,-,-,-,-,-,-,-,-,-
220525 Jardim do Mulato,-,-,-,-,-,-,-,1,-,-,-,-
220527 Jatobá do Piauí,-,-,-,-,-,-,-,1,-,1,2,-
220530 Jerumenha,-,-,-,-,-,-,-,-,-,-,-,-
220535 João Costa,-,-,-,-,-,-,-,-,-,-,-,1
220540 Joaquim Pires,-,-,-,-,-,-,-,-,-,1,1,1
220545 Joca Marques,-,-,-,-,-,2,1,1,-,-,-,-
220550 José de Freitas,-,-,-,-,-,-,-,3,4,1,1,-
220551 Juazeiro do Piauí,-,-,-,-,-,-,-,-,-,-,-,-
220552 Júlio Borges,-,-,-,-,-,-,-,-,-,-,-,-
220553 Jurema,-,-,-,-,-,-,-,-,-,-,-,-
220555 Lagoa Alegre,-,-,-,-,-,-,-,-,-,-,1,-
220557 Lagoa de São Francisco,-,-,-,-,-,-,1,-,-,-,-,-
